Documento,Setor,Processo,Protocolo
Informação 2738 (0050061403),SESAU-GECOMP,0036.078020/2022-01,0050061403
Documento de Oficialização de Demanda 6 Favor desconsiderar (0050132103),SESAU-GECOMP,0036.078020/2022-01,0050132103
Documento de Oficialização de Demanda 7 (0050321939),SESAU-GECOMP,0036.078020/2022-01,0050321939
Adendo - BANCO DE PREÇOS (0050952082),SAMD-NURM,0036.078020/2022-01,0050952082
Adendo - PAINEL DE PREÇOS (0050952241),SESAU-GECOMP,0036.078020/2022-01,0050952241
"Adendo - PAINEL DE PREÇOS 133,134 e 136 (0050954723)",SESAU-GECOMP,0036.078020/2022-01,0050954723
Adendo ITENS SEM COTAÇÃO (0050964043),SESAU-GECOMP,0036.078020/2022-01,0050964043
Relatório - PESQUISA DE PREÇOS (0050092250),SESAU-GECOMP,0036.078020/2022-01,0050092250
Informação 3473 (0050977445),SESAU-GECOMP,0036.078020/2022-01,0050977445
Justificativa 0050982061,SESAU-CO,0036.078020/2022-01,0050982061
Despacho 0051116012,SESAU-GECOMP,0036.078020/2022-01,0051116012
Despacho 0051155789,SESAU-GECOMP,0036.078020/2022-01,0051155789
Portaria nº 2550 de 16 de abril de 2024 (0051159179),SESAU-GECOMP,0036.078020/2022-01,0051159179
Estudo Técnico Preliminar (0051890248),SESAU-CO,0036.078020/2022-01,0051890248
Mapa de Risco 92 (0051159698),SESAU-GECOMP,0036.078020/2022-01,0051159698
Adendo Matriz de Riscos (0051160157),SESAU-GECOMP,0036.078020/2022-01,0051160157
Certidão 474 (0051865316),SESAU-GECOMP,0036.078020/2022-01,0051865316
Memorando 6 (0016777059),SESAU-CAP,0060.114123/2021-55,0016777059
Ofício 402 (0020018989),HRSF-DG,0060.114123/2021-55,0020018989
Despacho 0020027276,SESAU-GECOMP,0060.114123/2021-55,0020027276
Despacho 0020055021,SESAU-GECOMP,0060.114123/2021-55,0020055021
Certidão 127 (0020639064),SESAU-NAP,0060.114123/2021-55,0020639064
Despacho 0020638178,SESAU-NAP,0060.114123/2021-55,0020638178
Consulta - Banco de Preços (0021903777),SESAU-NAP,0060.114123/2021-55,0021903777
Consulta - SIRP (0021903939),SESAU-GECOMP,0060.114123/2021-55,0021903939
Despacho 0021902550,COHREC-DG,0060.114123/2021-55,0021902550
Memorando-Circular 128 (0022025831),AMI-COORD,0060.114123/2021-55,0022025831
Despacho 0022092340,HICD-DG,0060.114123/2021-55,0022092340
Despacho 0022095802,POC-DG,0060.114123/2021-55,0022095802
Despacho 0022097369,HB-GAD,0060.114123/2021-55,0022097369
Despacho 0022099357,CEMETRON-DG,0060.114123/2021-55,0022099357
Despacho 0022100097,CEMETRON-ASTEC,0060.114123/2021-55,0022100097
Despacho 0022100465,LACEN-DG,0060.114123/2021-55,0022100465
Despacho 0022102731,LACEN-ASTEC,0060.114123/2021-55,0022102731
Despacho 0022102823,JPII-DG,0060.114123/2021-55,0022102823
Despacho 0022107137,HRSF-DG,0060.114123/2021-55,0022107137
Despacho 0022107668,HC-DG,0060.114123/2021-55,0022107668
Despacho 0022107692,CEMETRON-NAP,0060.114123/2021-55,0022107692
Despacho 0022108296,HB-SESMT,0060.114123/2021-55,0022108296
Estudo Técnico 0022110096,LACEN-APOIO,0060.114123/2021-55,0022110096
Despacho 0022112317,HRE-DG,0060.114123/2021-55,0022112317
Despacho 0022125739,HICD-GAF,0060.114123/2021-55,0022125739
Memorando 27 (0022157653),CEMETRON-SESMT,0060.114123/2021-55,0022157653
Despacho 0022293655,HC-NSESMT,0060.114123/2021-55,0022293655
Estudo Técnico 0022308259,HB-SESMT,0060.114123/2021-55,0022308259
Estudo Técnico 0022378442,COHREC-COAD,0060.114123/2021-55,0022378442
Estudo Técnico 0022380375,HICD-GAF,0060.114123/2021-55,0022380375
Estudo Técnico 0022434968,HICD-GAF,0060.114123/2021-55,0022434968
Memorando nº623/2021/COHREC-COAD (0022444341),JPII-SESMT,0060.114123/2021-55,0022444341
Estudo Técnico 0022458882,HRB-GAD,0060.114123/2021-55,0022458882
Despacho 0022459853,SESAU-GECOMP,0060.114123/2021-55,0022459853
Despacho 0022496322,CDA-ASTEC,0060.114123/2021-55,0022496322
Despacho 0022551843,HICD-GAF,0060.114123/2021-55,0022551843
Despacho 0022571886,LACEN-APOIO,0060.114123/2021-55,0022571886
Despacho 0022593123,POC-GAD,0060.114123/2021-55,0022593123
Despacho 0022635153,SESAU-GECOMP,0060.114123/2021-55,0022635153
Errata 0022783890,CEMETRON-DG,0060.114123/2021-55,0022783890
Despacho 0023021546,POC-GEMAN,0060.114123/2021-55,0023021546
Despacho 0023025638,SESAU-GECOMP,0060.114123/2021-55,0023025638
Despacho 0023054867,CEMETRON-SESMT,0060.114123/2021-55,0023054867
Despacho 0023078442,CEMETRON-SESMT,0060.114123/2021-55,0023078442
Despacho 0023259079,SESAU-HRB,0060.114123/2021-55,0023259079
Despacho 0023268229,COHREC-COAD,0060.114123/2021-55,0023268229
Despacho 0023319255,COHREC-COAD,0060.114123/2021-55,0023319255
Adendo (0023319553),POC-GAD,0060.114123/2021-55,0023319553
Despacho 0023334738,SESAU-GECOMP,0060.114123/2021-55,0023334738
Justificativa 0023383929,CEMETRON-SESMT,0060.114123/2021-55,0023383929
Despacho 0023456314,SESAU-GAD,0060.114123/2021-55,0023456314
Estudo Técnico 0023477898,SESAU-GECOMP,0060.114123/2021-55,0023477898
Despacho 0023837067,LACEN-DG,0060.114123/2021-55,0023837067
Despacho 0023874475,CEMETRON-DG,0060.114123/2021-55,0023874475
Estudo Técnico 0024069446,LACEN-ASTEC,0060.114123/2021-55,0024069446
Despacho 0028306657,COHREC-COAD,0060.114123/2021-55,0028306657
Despacho 0028322560,CEMETRON-SESMT,0060.114123/2021-55,0028322560
Despacho 0028324135,CEMETRON-SESMT,0060.114123/2021-55,0028324135
Despacho 0028326829,POC-DG,0060.114123/2021-55,0028326829
Despacho 0028330981,POC-ASSES,0060.114123/2021-55,0028330981
Estudo Técnico 0028353425,HRSF-DG,0060.114123/2021-55,0028353425
Despacho 0028397092,HRSF-NSDT,0060.114123/2021-55,0028397092
Despacho 0028440219,SESAU-NAP,0060.114123/2021-55,0028440219
Despacho 0028443559,HC-GAD,0060.114123/2021-55,0028443559
Despacho 0028485975,HC-GAD,0060.114123/2021-55,0028485975
Despacho 0028761784,SESAU-NPPS,0060.114123/2021-55,0028761784
Despacho 0028765884,SESAU-GECOMP,0060.114123/2021-55,0028765884
Memorando 20 (0028975749),SESAU-GECOMP,0060.114123/2021-55,0028975749
Despacho 0028983488,POC-DG,0060.114123/2021-55,0028983488
Portaria (0028984153),SESAU-GECOMP,0060.114123/2021-55,0028984153
Informação 1475 (0029032321),SESAU-GECOMP,0060.114123/2021-55,0029032321
Estudo Técnico 0029830734,HRSF-NSDT,0060.114123/2021-55,0029830734
Informação 245 (0029903003),SESAU-GECOMP,0060.114123/2021-55,0029903003
Despacho 0029911803,SESAU-GECOMP,0060.114123/2021-55,0029911803
Estudo Técnico 0029979122,SESAU-GECOMP,0060.114123/2021-55,0029979122
Informação 257 (0029978803),SESAU-GECOMP,0060.114123/2021-55,0029978803
Despacho 0030033307,SESAU-GECOMP,0060.114123/2021-55,0030033307
Nota 2170 (0030054263),SESAU-GECOMP,0060.114123/2021-55,0030054263
Estudo Técnico 0030054724,SESAU-GECOMP,0060.114123/2021-55,0030054724
Informação 265 (0030055564),SESAU-GECOMP,0060.114123/2021-55,0030055564
Despacho 0030214973,SESAU-GECOMP,0060.114123/2021-55,0030214973
Informação 311 (0030370202),SESAU-GECOMP,0060.114123/2021-55,0030370202
Memorando 669 (0031550861),CEMETRON-DG,0060.114123/2021-55,0031550861
Autorização 0031551970,COHREC-DG,0060.114123/2021-55,0031551970
Termo de Referência 0031166469,SESAU-GECOMP,0060.114123/2021-55,0031166469
SAMS 0031327241,SESAU-GECOMP,0060.114123/2021-55,0031327241
Despacho 0031587142,SESAU-GECOMP,0060.114123/2021-55,0031587142
Informação 648 (0032509435),POC-GAD,0060.114123/2021-55,0032509435
Informação 27 (0032535008),SESAU-GECOMP,0060.114123/2021-55,0032535008
Despacho 0032549363,CEMETRON-ASTEC,0060.114123/2021-55,0032549363
Termo de Referência 0032585247,CEMETRON-ASTEC,0060.114123/2021-55,0032585247
SAMS 0032594850,CEMETRON-ASTEC,0060.114123/2021-55,0032594850
Informação 769 (0033049399),SESAU-GECOMP,0060.114123/2021-55,0033049399
Despacho 0033267685,SESAU-GECOMP,0060.114123/2021-55,0033267685
Memorando DEMANDA O CDI (0033303770),SESAU-GECOMP,0060.114123/2021-55,0033303770
Memorando (0033371077),SESAU-GECOMP,0060.114123/2021-55,0033371077
Estudo Técnico 0033370987,HB-DG,0060.114123/2021-55,0033370987
Despacho 0033371954,SESAU-GECOMP,0060.114123/2021-55,0033371954
Termo de Referência 0034690822,CDA-COORD,0060.114123/2021-55,0034690822
SAMS 0034690828,SESAU-GECOMP,0060.114123/2021-55,0034690828
Informação 1254 (0034782908),SUPEL-CAP,0060.114123/2021-55,0034782908
Informação 72 (0035136171),SUPEL-CAP,0060.114123/2021-55,0035136171
Informação 1 (0035151065),SUPEL-NP,0060.114123/2021-55,0035151065
Despacho 0035152677,SESAU-GECOMP,0060.114123/2021-55,0035152677
Despacho 0035161065,SESAU-GECOMP,0060.114123/2021-55,0035161065
Despacho 0035166113,SESAU-GECOMP,0060.114123/2021-55,0035166113
Ofício 2120 (0035319439),SESAU-GECOMP,0060.114123/2021-55,0035319439
Análise 54 (0035351122),SESAU-GECOMP,0060.114123/2021-55,0035351122
Despacho 0035351607,SESAU-GECOMP,0060.114123/2021-55,0035351607
Despacho 0035432741,SESAU-GECOMP,0060.114123/2021-55,0035432741
Termo de Referência 0035447415,HEURO-DG,0060.114123/2021-55,0035447415
Informação 179 (0035448176),SESAU-GECOMP,0060.114123/2021-55,0035448176
Informação 276 (0035670994),HEURO-DG,0060.114123/2021-55,0035670994
Informação 296 (0035736111),SESAU-GECOMP,0060.114123/2021-55,0035736111
Ofício 4481 (0035799266),SESAU-GECOMP,0060.114123/2021-55,0035799266
Termo de Referência 0035834227,SESAU-GECOMP,0060.114123/2021-55,0035834227
Informação 325 (0035834476),HICD-GAF,0060.114123/2021-55,0035834476
Despacho 0035909322,HC-GAD,0060.114123/2021-55,0035909322
Despacho 0036001160,SESAU-GECOMP,0060.114123/2021-55,0036001160
Despacho 0036033379,SESAU-GECOMP,0060.114123/2021-55,0036033379
Termo de Referência 0036361777,HC-GAD,0060.114123/2021-55,0036361777
SAMS 0036383252,CEMETRON-DG,0060.114123/2021-55,0036383252
Informação 513 (0036550722),SESAU-GECOMP,0060.114123/2021-55,0036550722
Despacho 0036560592,SESAU-GECOMP,0060.114123/2021-55,0036560592
Informação 4 (0036586766),SESAU-CDI,0060.114123/2021-55,0036586766
Termo de Referência 0036632753,SESAU-GECOMP,0060.114123/2021-55,0036632753
SAMS 0036633567,SESAU-NPPS,0060.114123/2021-55,0036633567
Informação 547 (0036665496),CEMETRON-DG,0060.114123/2021-55,0036665496
Despacho 0036668070,SESAU-SESMT,0060.114123/2021-55,0036668070
Despacho 0036715521,CDA-COORD,0060.114123/2021-55,0036715521
Anexo SEI_ABC - 0036818323 - Informação (3) (0036965808),SESAU-GECOMP,0060.114123/2021-55,0036818323
Informação 596 (0036965818),SESAU-CDI,0060.114123/2021-55,0036965818
Despacho 0036967872,SESAU-GAD,0060.114123/2021-55,0036967872
Despacho 0036974319,SESAU-GECOMP,0060.114123/2021-55,0036974319
Informação 1371 (0036993022),POC-DG,0060.114123/2021-55,0036993022
Despacho 0037088199,SESAU-CDI,0060.114123/2021-55,0037088199
Despacho 0037136586,POC-ASSES,0060.114123/2021-55,0037136586
Despacho 0037172130,HB-DG,0060.114123/2021-55,0037172130
Informação 641 (0037296902),HICD-GAF,0060.114123/2021-55,0037296902
Memorando 132 (0037308892),CEMETRON-DG,0060.114123/2021-55,0037308892
Despacho 0037331360,CDA-COORD,0060.114123/2021-55,0037331360
Memorando 448 (0037457970),LACEN-ASTEC,0060.114123/2021-55,0037457970
Despacho 0037511391,CEMETRON-SESMT,0060.114123/2021-55,0037511391
Memorando 148 Documento de Oficialização de Demanda (0037515997),HB-SESMT,0060.114123/2021-55,0037515997
Despacho DESCONSIDERAR (0037520349),LACEN-APOIO,0060.114123/2021-55,0037520349
Despacho 0037520377,HRSF-ASTEC,0060.114123/2021-55,0037520377
Documento de Oficialização de Demanda 8 DESCONSIDERAR (0037521776),SESAU-HRB,0060.114123/2021-55,0037521776
Despacho 0037522850,HB-SESMT,0060.114123/2021-55,0037522850
Despacho 0037523840,HB-GAB,0060.114123/2021-55,0037523840
Despacho 0037527211,HEURO-ASGAB,0060.114123/2021-55,0037527211
Despacho 0037529570,HEURO-ASGAB,0060.114123/2021-55,0037529570
Despacho DESCONSIDERAR (0037531516),HEURO-ASGAB,0060.114123/2021-55,0037531516
Documento de Oficialização de Demanda 1 (0037540177),HC-GAD,0060.114123/2021-55,0037540177
Memorando 8 DOCUMENTO DE OFICIALIZAÇÃO DE DEMANDA (0037541795),HC-NSESMT,0060.114123/2021-55,0037541795
Documento de Oficialização de Demanda 22 (0037548285),HC-GAD,0060.114123/2021-55,0037548285
Despacho Documento de Oficialização de Demanda (0037551197),CEMETRON-ASTEC,0060.114123/2021-55,0037551197
Despacho 0037582466,SESAU-GECOMP,0060.114123/2021-55,0037582466
Informação 19 (0037588144),CEMETRON-NAP,0060.114123/2021-55,0037588144
Documento de Oficialização de Demanda 8 DESCONSIDERAR (0037621007),CEMETRON-ASTEC,0060.114123/2021-55,0037621007
Documento de Oficialização de Demanda 11 (0038088437),HRC-DG,0060.114123/2021-55,0038088437
Informação 14 (0038104263),CDA-COORD,0060.114123/2021-55,0038104263
Despacho 0037635235,HRC-DG,0060.114123/2021-55,0037635235
Despacho 0037689110,CDA-ASTEC,0060.114123/2021-55,0037689110
Documento de Oficialização de Demanda 8 (0037691901),CEMETRON-ASTEC,0060.114123/2021-55,0037691901
Despacho 0037715875,COHREC-COAD,0060.114123/2021-55,0037715875
Despacho 0037729727,SESAU-GECOMP,0060.114123/2021-55,0037729727
Despacho 0037781513,HRSF-ASTEC,0060.114123/2021-55,0037781513
Documento de Oficialização de Demanda 6 (0037849977),SESAU-HRB,0060.114123/2021-55,0037849977
Despacho 0037901514,HB-DG,0060.114123/2021-55,0037901514
Despacho 0037909542,COHREC-COAD,0060.114123/2021-55,0037909542
Despacho 0037912741,HICD-GAF,0060.114123/2021-55,0037912741
Despacho 0037916020,HRC-DG,0060.114123/2021-55,0037916020
Despacho Documento de Oficialização de Demanda (0037916041),CDA-COORD,0060.114123/2021-55,0037916041
Despacho 0037935111,HB-ASTEC,0060.114123/2021-55,0037935111
Informação 39 (0038140982),POC-GEMAN,0060.114123/2021-55,0038140982
Despacho 0038485093,POC-GAD,0060.114123/2021-55,0038485093
Despacho 0038515518,LACEN-ASTEC,0060.114123/2021-55,0038515518
Despacho 0038523670,CEMETRON-DG,0060.114123/2021-55,0038523670
Despacho 0038525498,COHREC-COAD,0060.114123/2021-55,0038525498
Despacho 0038530682,CEMETRON-ASTEC,0060.114123/2021-55,0038530682
Despacho 0038537947,SESAU-GECOMP,0060.114123/2021-55,0038537947
Despacho 0038562144,HC-GAD,0060.114123/2021-55,0038562144
Despacho 0038562621,SESAU-HRB,0060.114123/2021-55,0038562621
Despacho 0038596915,SESAU-CDI,0060.114123/2021-55,0038596915
Despacho 0038604221,HICD-GAF,0060.114123/2021-55,0038604221
Despacho 0038606999,HICD-GAF,0060.114123/2021-55,0038606999
Despacho 0038694808,SESAU-GECOMP,0060.114123/2021-55,0038694808
Despacho 0038725904,HICD-GAF,0060.114123/2021-55,0038725904
Informação 51 (0038908304),HB-SESMT,0060.114123/2021-55,0038908304
Despacho 0038959793,SESAU-SESMT,0060.114123/2021-55,0038959793
Despacho 0038986841,SESAU-SESMT,0060.114123/2021-55,0038986841
Despacho 0038987801,SESAU-GECOMP,0060.114123/2021-55,0038987801
Despacho 0039028888,COHREC-COAD,0060.114123/2021-55,0039028888
Despacho 0039049403,COHREC-COAD,0060.114123/2021-55,0039049403
Despacho 0039060330,SESAU-GECOMP,0060.114123/2021-55,0039060330
Plano de Ação Anual (0039128741),SESAU-GECOMP,0060.114123/2021-55,0039128741
Despacho 0039128752,SESAU-GECOMP,0060.114123/2021-55,0039128752
Despacho 0040314756,SESAU-GECOMP,0060.114123/2021-55,0040314756
Despacho DESCONSIDERAR (0040356677),SESAU-GECOMP,0060.114123/2021-55,0040356677
Despacho 0040366350,SESAU-GECOMP,0060.114123/2021-55,0040366350
Despacho 0040377821,SESAU-GECOMP,0060.114123/2021-55,0040377821
Lista EPI (0040393559),SESAU-GECOMP,0060.114123/2021-55,0040393559
Termo de Referência 0040402806,SESAU-GECOMP,0060.114123/2021-55,0040402806
Informação 70 (0040501357),SESAU-GECOMP,0060.114123/2021-55,0040501357
Documento de Oficialização de Demanda 8 (0040545713),SESAU-GECOMP,0060.114123/2021-55,0040545713
Lista DESCONSIDERAR (0040852446),HRSF-ASTEC,0060.114123/2021-55,0040852446
Lista Atualizada (0040912525),SESAU-GECOMP,0060.114123/2021-55,0040912525
Termo de Referência 0040852473,SUPEL-CA,0060.114123/2021-55,0040852473
SAMS 0040432935,SUPEL-NP,0060.114123/2021-55,0040432935
Informação 2019 (0041303639),SUPEL-ZETA,0060.114123/2021-55,0041303639
Informação 2049 (0041383204),SUPEL-CPEAP,0060.114123/2021-55,0041383204
Despacho 0041447726,SUPEL-CPEAP,0060.114123/2021-55,0041447726
Termo de Referência 0041474159,SUPEL-CPEAP,0060.114123/2021-55,0041474159
SAMS 0041474229,SESAU-GECOMP,0060.114123/2021-55,0041474229
Informação 2111 (0041537789),SESAU-SESMT,0060.114123/2021-55,0041537789
Informação 2114 (0041541644),SESAU-GECOMP,0060.114123/2021-55,0041541644
Informação 2239 (0041905840),SESAU-GECOMP,0060.114123/2021-55,0041905840
Despacho 0041954174,SESAU-GECOMP,0060.114123/2021-55,0041954174
Despacho 0041983037,SUPEL-CPEAP,0060.114123/2021-55,0041983037
Despacho 0042170236,SUPEL-CPEAP,0060.114123/2021-55,0042170236
Despacho 0042184000,SUPEL-CAP,0060.114123/2021-55,0042184000
Despacho 0042225650,SUPEL-NP,0060.114123/2021-55,0042225650
Cotação do banco de preços (0042914573),SUPEL-CAP,0060.114123/2021-55,0042914573
Quadro pré-estimativo (0042914536),SESAU-GECOMP,0060.114123/2021-55,0042914536
Despacho 0042921687,SESAU-GECOMP,0060.114123/2021-55,0042921687
Despacho 0042950842,SESAU-GECOMP,0060.114123/2021-55,0042950842
Despacho 0042970529,SESAU-SESMT,0060.114123/2021-55,0042970529
Termo de Referência 0043030261,SESAU-GECOMP,0060.114123/2021-55,0043030261
SAMS 0043031937,SUPEL-CAP,0060.114123/2021-55,0043031937
Despacho 0043117018,SUPEL-NP,0060.114123/2021-55,0043117018
Cotação do banco de preços (0043283897),SUPEL-NP,0060.114123/2021-55,0043283897
Quadro Comparativo de preços (0043283974),SUPEL-NP,0060.114123/2021-55,0043283974
Certidão 1058 (0043284569),SUPEL-NP,0060.114123/2021-55,0043284569
Despacho 0043308507,SUPEL-NP,0060.114123/2021-55,0043308507
Despacho 0043428266,SUPEL-NP,0060.114123/2021-55,0043428266
Despacho 0043447709,SUPEL-ZETA,0060.114123/2021-55,0043447709
Termo de Referência 0043572329,SUPEL-NP,0060.114123/2021-55,0043572329
Informação 2780 (0043573748),PGE-SESAU,0060.114123/2021-55,0043573748
Despacho 0043574361,PGE-ASSESADM,0060.114123/2021-55,0043574361
Despacho 0043589487,SESAU-GECOMP,0060.114123/2021-55,0043589487
Despacho 0043592021,SESAU-GECOMP,0060.114123/2021-55,0043592021
Despacho 0043691545,SESAU-GECOMP,0060.114123/2021-55,0043691545
Portaria Nº 142 de 01 de Novembro 2023 (0043914782),SESAU-SESMT,0060.114123/2021-55,0043914782
Instrumento Convocatório 0043914805,SESAU-GECOMP,0060.114123/2021-55,0043914805
Ata - Modelo de Minuta da Ata de Registro de Preço (0043929438),SESAU-GECOMP,0060.114123/2021-55,0043929438
Ata - Modelo de Adesão a Ata de Registro de Preços (0043929475),SESAU-GECOMP,0060.114123/2021-55,0043929475
Certidão 820 (0044109507),SESAU-GECOMP,0060.114123/2021-55,0044109507
Despacho 0044155857,SESAU-GECOMP,0060.114123/2021-55,0044155857
Despacho 0044286087,SESAU-GECOMP,0060.114123/2021-55,0044286087
Despacho 0044301551,SUPEL-CA,0060.114123/2021-55,0044301551
Parecer 1121 (0044327522),SUPEL-CA,0060.114123/2021-55,0044327522
Despacho 0044801426,SUPEL-CA,0060.114123/2021-55,0044801426
Informação 14 (0044869761),SUPEL-CA,0060.114123/2021-55,0044869761
Estudo Técnico Preliminar (0046064251),SUPEL-CAP,0060.114123/2021-55,0046064251
Certidão 90 (0046064570),SUPEL-CAP,0060.114123/2021-55,0046064570
Informação 508 (0046065125),SUPEL-UPSILON,0060.114123/2021-55,0046065125
Informação 11 (0046241901),SUPEL-UPSILON,0060.114123/2021-55,0046241901
Portaria 1282 (0046287668),SUPEL-CAP,0060.114123/2021-55,0046287668
Informação 611 (0046433784),SUPEL-CA,0060.114123/2021-55,0046433784
Termo de Referência 0046447739,SUPEL-UPSILON,0060.114123/2021-55,0046447739
SAMS 0046467467,SUPEL-UPSILON,0060.114123/2021-55,0046467467
Informação 658 (0046586741),SUPEL-UPSILON,0060.114123/2021-55,0046586741
Despacho 0046623904,SUPEL-UPSILON,0060.114123/2021-55,0046623904
Despacho DESCONSIDERAR (0046883359),PGE-SESAU,0060.114123/2021-55,0046883359
Despacho 0046901041,PGE-ASSESADM,0060.114123/2021-55,0046901041
Portaria Comissão de Saúde (0046901525),PGE-ASSESADM,0060.114123/2021-55,0046901525
Errata 0046901749,SUPEL-UPSILON,0060.114123/2021-55,0046901749
Análise 128 (0046941573),SESAU-GECOMP,0060.114123/2021-55,0046941573
Despacho 0046941677,SESAU-GECOMP,0060.114123/2021-55,0046941677
Análise 10 (0047086020),SESAU-GECOMP,0060.114123/2021-55,0047086020
Despacho 0047123164,SESAU-GECOMP,0060.114123/2021-55,0047123164
Despacho 0047128457,SESAU-GECOMP,0060.114123/2021-55,0047128457
Despacho 0047200756,SESAU-NPPS,0060.114123/2021-55,0047200756
Informação 2 (0047209886),SESAU-GECOMP,0060.114123/2021-55,0047209886
Instrumento Convocatório 0047209879,SESAU-GECOMP,0060.114123/2021-55,0047209879
Ata - Minuta da Ata de Registro de Preços e da Adesão (0047213776),SESAU-GECOMP,0060.114123/2021-55,0047213776
Despacho 0047217540,SESAU-GECOMP,0060.114123/2021-55,0047217540
Certidão 2 (0047237497),SESAU-GECOMP,0060.114123/2021-55,0047237497
Parecer 221 (0047421206),SESAU-SESMT,0060.114123/2021-55,0047421206
Despacho 0047663921,SESAU-GECOMP,0060.114123/2021-55,0047663921
Despacho 0047684726,SESAU-NEOR,0060.114123/2021-55,0047684726
Despacho 0047779642,SESAU-NEOR,0060.114123/2021-55,0047779642
Documento de Oficialização de Demanda 146 POC (0049034391),SESAU-GECOMP,0060.114123/2021-55,0049034391
Justificativa 0049019758,SESAU-GECOMP,0060.114123/2021-55,0049019758
Termo de Referência DESCONSIDERAR (0048973678),SESAU-GECOMP,0060.114123/2021-55,0048973678
Despacho DESCONSIDERAR (0048947978),SESAU-GECOMP,0060.114123/2021-55,0048947978
Despacho 0050275487,SESAU-GECOMP,0060.114123/2021-55,0050275487
Despacho 0050295299,SESAU-GECOMP,0060.114123/2021-55,0050295299
Informação 2854 (0050266492),SUPEL-UPSILON,0060.114123/2021-55,0050266492
Estudo Técnico Preliminar (0050698193),SESAU-GECOMP,0060.114123/2021-55,0050698193
Mapa de Risco 64 (0050705620),SUPEL-CRP,0060.114123/2021-55,0050705620
Certidão 379 (0050698310),SESAU-GECOMP,0060.114123/2021-55,0050698310
Informação 3197 (0050698691),SESAU-GECOMP,0060.114123/2021-55,0050698691
Informação 36 (0050703078),SESAU-GECOMP,0060.114123/2021-55,0050703078
Requisição 0050767812,SESAU-GECOMP,0060.114123/2021-55,0050767812
Informação 3298 (0050807813),SESAU-GECOMP,0060.114123/2021-55,0050807813
Declaração de Adequação Financeira 0050912836,SESAU-GECOMP,0060.114123/2021-55,0050912836
Decreto de 15 de dezembro de 2023. (0050913137),SUPEL-UPSILON,0060.114123/2021-55,0050913137
Portaria Designação Equipe de Planejamento (0051780778),SUPEL-UPSILON,0060.114123/2021-55,0051780778
Termo de Referência DESCONSIDERAR (0049285017),SESAU-GECOMP,0060.114123/2021-55,0049285017
Termo de Abertura 0042599225,SESAU-CO,0036.048286/2023-00,0042599225
Memorando 362 (0042600677),SESAU-GAD,0036.048286/2023-00,0042600677
Informação 303 (0042951205),SESAU-CO,0036.048286/2023-00,0042951205
Memorando 388 (0043312999),SESAU-GAD,0036.048286/2023-00,0043312999
Informação 323 (0043379410),SESAU-GECOMP,0036.048286/2023-00,0043379410
Despacho 0043660975,SESAU-GECOMP,0036.048286/2023-00,0043660975
Informação 2817 (0043695593),SESAU-GECOMP,0036.048286/2023-00,0043695593
Adendo - Média de preços (0043781061),SESAU-GAD,0036.048286/2023-00,0043781061
Despacho 0043780553,SESAU-GAD,0036.048286/2023-00,0043780553
Documento de Oficialização de Demanda 3 MINUTA (0043802325),HICD-DG,0036.048286/2023-00,0043802325
Despacho 0043801879,HEURO-DG,0036.048286/2023-00,0043801879
Despacho 0043836214,HB-DG,0036.048286/2023-00,0043836214
Despacho 0043837518,HB-GAD,0036.048286/2023-00,0043837518
Despacho 0043838881,HICD-GAF,0036.048286/2023-00,0043838881
Despacho 0043836737,SESAU-CGAF,0036.048286/2023-00,0043836737
Documento de Oficialização de Demanda 30 HICD (0043841434),SESAU-GRS4,0036.048286/2023-00,0043841434
Documento de Oficialização de Demanda 2 CGAF/CAF I/ ANEXO/GMEDJUDI (0043842402),SESAU-GRS4,0036.048286/2023-00,0043842402
Documento de Oficialização de Demanda 8 IVGRS-Ariquemes (0043843058),CEMETRON-DG,0036.048286/2023-00,0043843058
Despacho IVGRS-Ariquemes (0044044790),CDA-COORD,0036.048286/2023-00,0044044790
Despacho 0043845253,SESAU-CGPM,0036.048286/2023-00,0043845253
Despacho 0043850006,HRC-DG,0036.048286/2023-00,0043850006
Documento de Oficialização de Demanda 4 (0043854858),SESAU-CDI,0036.048286/2023-00,0043854858
Despacho 0043864649,SESAU-GRS1,0036.048286/2023-00,0043864649
Despacho 0043864840,POC-GAD,0036.048286/2023-00,0043864840
Documento de Oficialização de Demanda 46 (0043870599),SAMD-ASS,0036.048286/2023-00,0043870599
Despacho de Aquisição de Material Permanente IGRS (0043871403),SESAU-CAP,0036.048286/2023-00,0043871403
Documento de Oficialização de Demanda 16 (0043873200),LEPAC-ASTEC,0036.048286/2023-00,0043873200
Despacho 0043876251,SESAU-GRS2,0036.048286/2023-00,0043876251
Documento de Oficialização de Demanda 1 (0043889028),LACEN-ASTEC,0036.048286/2023-00,0043889028
Documento de Oficialização de Demanda 10 (0043889536),FHEMERON-PRES,0036.048286/2023-00,0043889536
Despacho produtos de refrigeração (0043892249),FHEMERON-DAF,0036.048286/2023-00,0043892249
Documento de Oficialização de Demanda 23 (0043899456),CAIS-CENE,0036.048286/2023-00,0043899456
Despacho 0043899644,SAMD-ASS,0036.048286/2023-00,0043899644
Despacho 0043907412,HEURO-ASGAB,0036.048286/2023-00,0043907412
Documento de Oficialização de Demanda 16 (0043909736),SESAU-GAD,0036.048286/2023-00,0043909736
Documento de Oficialização de Demanda 10 Desconsiderar (0043947351),CDA-COORD,0036.048286/2023-00,0043947351
